"","Year","State","total_sentiment","Elected"
"151",2008,"KS",0,"Elected"
"152",2009,"KS",0,"Elected"
"153",2010,"KS",-2,"Elected"
"154",2011,"KS",-5,"Elected"
"155",2012,"KS",-5,"Elected"
"156",2013,"KS",0,"Elected"
"157",2014,"KS",-1,"Elected"
"158",2015,"KS",-7,"Elected"
"159",2016,"KS",-8,"Elected"
"160",2017,"KS",0,"Elected"
"161",2008,"KY",0,"Elected"
"162",2009,"KY",-1,"Elected"
"163",2010,"KY",-2,"Elected"
"164",2011,"KY",0,"Elected"
"165",2012,"KY",0,"Elected"
"166",2013,"KY",0,"Elected"
"167",2014,"KY",-1,"Elected"
"168",2015,"KY",0,"Elected"
"169",2016,"KY",0,"Elected"
"170",2017,"KY",0,"Elected"
"171",2008,"LA",-2,"Elected"
"172",2009,"LA",0,"Elected"
"173",2010,"LA",0,"Elected"
"174",2011,"LA",0,"Elected"
"175",2012,"LA",-3,"Elected"
"176",2013,"LA",0,"Elected"
"177",2014,"LA",-2,"Elected"
"178",2015,"LA",0,"Elected"
"179",2016,"LA",0,"Elected"
"180",2017,"LA",0,"Elected"
"181",2008,"MA",0,"Appointed"
"182",2009,"MA",-2,"Appointed"
"183",2010,"MA",-1,"Appointed"
"184",2011,"MA",-2,"Appointed"
"185",2012,"MA",-2,"Appointed"
"186",2013,"MA",0,"Appointed"
"187",2014,"MA",0,"Appointed"
"188",2015,"MA",0,"Appointed"
"189",2016,"MA",0,"Appointed"
"190",2017,"MA",-1,"Appointed"
"191",2008,"MD",-1,"Elected"
"192",2009,"MD",0,"Elected"
"193",2010,"MD",1,"Elected"
"194",2011,"MD",0,"Elected"
"195",2012,"MD",0,"Elected"
"196",2013,"MD",0,"Elected"
"197",2014,"MD",0,"Elected"
"198",2015,"MD",0,"Elected"
"199",2016,"MD",0,"Elected"
"200",2017,"MD",0,"Elected"
"201",2008,"ME",0,"Appointed"
"202",2009,"ME",0,"Appointed"
"203",2010,"ME",0,"Appointed"
"204",2011,"ME",-2,"Appointed"
"205",2012,"ME",0,"Appointed"
"206",2013,"ME",0,"Appointed"
"207",2014,"ME",0,"Appointed"
"208",2015,"ME",0,"Appointed"
"209",2016,"ME",0,"Appointed"
"210",2017,"ME",0,"Appointed"
"211",2008,"MI",0,"Elected"
"212",2009,"MI",0,"Elected"
"213",2010,"MI",0,"Elected"
"214",2011,"MI",-2,"Elected"
"215",2012,"MI",-2,"Elected"
"216",2013,"MI",2,"Elected"
"217",2014,"MI",0,"Elected"
"218",2015,"MI",0,"Elected"
"219",2016,"MI",0,"Elected"
"220",2017,"MI",0,"Elected"
"221",2008,"MN",0,"Elected"
"222",2009,"MN",-3,"Elected"
"223",2010,"MN",-3,"Elected"
"224",2011,"MN",1,"Elected"
"225",2012,"MN",0,"Elected"
"226",2013,"MN",1,"Elected"
"227",2014,"MN",1,"Elected"
"228",2015,"MN",-2,"Elected"
"229",2016,"MN",-2,"Elected"
"230",2017,"MN",0,"Elected"
"231",2008,"MO",-2,"Elected"
"232",2009,"MO",0,"Elected"
"233",2010,"MO",-6,"Elected"
"234",2011,"MO",-7,"Elected"
"235",2012,"MO",-4,"Elected"
"236",2013,"MO",0,"Elected"
"237",2014,"MO",-5,"Elected"
"238",2015,"MO",-1,"Elected"
"239",2016,"MO",-6,"Elected"
"240",2017,"MO",-1,"Elected"
"241",2008,"MS",0,"Elected"
"242",2009,"MS",0,"Elected"
"243",2010,"MS",0,"Elected"
"244",2011,"MS",-7,"Elected"
"245",2012,"MS",-1,"Elected"
"246",2013,"MS",0,"Elected"
"247",2014,"MS",1,"Elected"
"248",2015,"MS",-1,"Elected"
"249",2016,"MS",0,"Elected"
"250",2017,"MS",0,"Elected"
"251",2008,"MT",0,"Elected"
"252",2009,"MT",2,"Elected"
"253",2010,"MT",0,"Elected"
"254",2011,"MT",2,"Elected"
"255",2012,"MT",0,"Elected"
"256",2013,"MT",0,"Elected"
"257",2014,"MT",0,"Elected"
"258",2015,"MT",-1,"Elected"
"259",2016,"MT",0,"Elected"
"260",2017,"MT",0,"Elected"
"261",2008,"NC",0,"Elected"
"262",2009,"NC",1,"Elected"
"263",2010,"NC",0,"Elected"
"264",2011,"NC",2,"Elected"
"265",2012,"NC",0,"Elected"
"266",2013,"NC",0,"Elected"
"267",2014,"NC",-2,"Elected"
"268",2015,"NC",1,"Elected"
"269",2016,"NC",-2,"Elected"
"270",2017,"NC",2,"Elected"
"271",2008,"ND",0,"Elected"
"272",2009,"ND",0,"Elected"
"273",2010,"ND",0,"Elected"
"274",2011,"ND",0,"Elected"
"275",2012,"ND",0,"Elected"
"276",2013,"ND",0,"Elected"
"277",2014,"ND",0,"Elected"
"278",2015,"ND",-1,"Elected"
"279",2016,"ND",0,"Elected"
"280",2017,"ND",0,"Elected"
"281",2008,"NE",0,"Elected"
"282",2009,"NE",0,"Elected"
"283",2010,"NE",-1,"Elected"
"284",2011,"NE",-1,"Elected"
"285",2012,"NE",-1,"Elected"
"286",2013,"NE",0,"Elected"
"287",2014,"NE",0,"Elected"
"288",2015,"NE",0,"Elected"
"289",2016,"NE",0,"Elected"
"290",2017,"NE",0,"Elected"
"291",2008,"NH",2,"Appointed"
"292",2009,"NH",2,"Appointed"
"293",2010,"NH",0,"Appointed"
"294",2011,"NH",0,"Appointed"
"295",2012,"NH",3,"Appointed"
"296",2013,"NH",1,"Appointed"
"297",2014,"NH",0,"Appointed"
"298",2015,"NH",0,"Appointed"
"299",2016,"NH",-2,"Appointed"
"300",2017,"NH",-1,"Appointed"
